this_gene,other_gene,weight
83062814,83062859,3
83062795,83065963,3
83063804,83066398,3
83061957,83063866,3
83062125,83064431,3
83062125,83066545,3
83064431,83066545,3
83062745,83063396,3
83064197,83064545,3
83064197,83065065,3
83064197,83066145,3
83064545,83065065,3
83064545,83066145,3
83065065,83066145,3
83063580,83065099,3
83062621,83065996,3
83065151,83066318,3
83062633,83062967,3
83062633,83063810,3
83062633,83064167,3
83062633,83065550,3
83062967,83063810,3
83062967,83064167,3
83062967,83065550,3
83063810,83064167,3
83063810,83065550,3
83064167,83065550,3
83065713,83065734,3
83062464,83063841,3
83062464,83065066,3
83063841,83065066,3
83065697,83066557,3
83064267,83064381,3
83064267,83065591,3
83064381,83065591,3
83062970,83066137,3
83063871,83064617,3
83062903,83063521,3
83062112,83063571,3
83062422,83064093,3
83062422,83064095,3
83062422,83064096,3
83062422,83064192,3
83062422,83064473,3
83062422,83065251,3
83062422,83065256,3
83062422,83065358,3
83062422,83066335,3
83062422,83066777,3
83064093,83064095,3
83064093,83064096,3
83064093,83064192,3
83064093,83064473,3
83064093,83065251,3
83064093,83065256,3
83064093,83065358,3
83064093,83066335,3
83064093,83066777,3
83064095,83064096,3
83064095,83064192,3
83064095,83064473,3
83064095,83065251,3
83064095,83065256,3
83064095,83065358,3
83064095,83066335,3
83064095,83066777,3
83064096,83064192,3
83064096,83064473,3
83064096,83065251,3
83064096,83065256,3
83064096,83065358,3
83064096,83066335,3
83064096,83066777,3
83064192,83064473,3
83064192,83065251,3
83064192,83065256,3
83064192,83065358,3
83064192,83066335,3
83064192,83066777,3
83064473,83065251,3
83064473,83065256,3
83064473,83065358,3
83064473,83066335,3
83064473,83066777,3
83065251,83065256,3
83065251,83065358,3
83065251,83066335,3
83065251,83066777,3
83065256,83065358,3
83065256,83066335,3
83065256,83066777,3
83065358,83066335,3
83065358,83066777,3
83066335,83066777,3
83062550,83063711,3
83062550,83064807,3
83063711,83064807,3
83064189,83065390,3
83063108,83063109,3
83063108,83063110,3
83063108,83063111,3
83063109,83063110,3
83063109,83063111,3
83063110,83063111,3
83063200,83063456,4
83062301,83065946,4
83063008,83063155,4
83063008,83063798,4
83063008,83065783,4
83063008,83066648,4
83063155,83063798,4
83063155,83065783,4
83063155,83066648,4
83063798,83065783,4
83063798,83066648,4
83065783,83066648,4
83065549,83065744,4
83065030,83065736,4
83064155,83065254,4
83063546,83063897,4
83063546,83065699,4
83063546,83065775,4
83063897,83065699,4
83063897,83065775,4
83065699,83065775,4
83063272,83064037,4
83063454,83063485,4
83063454,83065202,4
83063485,83065202,4
83062542,83064861,4
83063269,83063684,4
83064646,83064648,4
83064280,83064733,4
83062391,83062728,5
83062391,83062988,5
83062391,83063825,5
83062391,83065210,5
83062391,83066357,5
83062391,83066423,5
83062728,83062988,5
83062728,83063825,5
83062728,83065210,5
83062728,83066357,5
83062728,83066423,5
83062988,83063825,5
83062988,83065210,5
83062988,83066357,5
83062988,83066423,5
83063825,83065210,5
83063825,83066357,5
83063825,83066423,5
83065210,83066357,5
83065210,83066423,5
83066357,83066423,5
83063894,83065714,5
83062131,83062165,5
83062131,83063039,5
83062165,83063039,5
83062201,83064222,6
83064999,83066516,6
83064020,83065461,7
